intent,snippet
"how do i randomly select a variable from a list, and then modify it in python?","['1', '2', '3', '4', '5', '6', '7', 'X', '9']"
coverting index into multiindex (hierachical index) in pandas,"df.set_index(['e-mail', 'date'])"
sort a part of a list in place,a[i:j] = sorted(a[i:j])
most pythonic way to create many new columns in pandas,"df = pd.DataFrame(np.random.random((1000, 100)))"
append 3 lists in one list,[[] for i in range(3)]
inverse of a matrix using numpy,"numpy.array([[0, 1, 0], [0, 0, 0], [0, 0, 0]])"
convert a list to a dictionary in python,"dict(x[i:i + 2] for i in range(0, len(x), 2))"
"split string in column 'stats' by ',' into separate columns in dataframe `df`","df['stats'].str[1:-1].str.split(',').apply(pd.Series).astype(float)"
convert a pandas dataframe to a dictionary,"df.set_index('ID', drop=True, inplace=True)"
how can a pandas merge preserve order?,"x.merge(x.merge(y, how='left', on='state', sort=False))"
python: check if one dictionary is a subset of another larger dictionary,all(item in list(superset.items()) for item in list(subset.items()))
insert 0s into 2d array,"array([[-1, -2, -1, 2], [0, -1, 0, 3], [1, 0, 1, 4]])"
select a substring of `s` beginning at `beginning` of length `length`,s = s[beginning:(beginning + LENGTH)]
pandas dataframe group year index by decade,df.groupby(df.index.year).sum().head()
adding a string in front of a string for each item in a list in python,n = [(i if i.startswith('h') else 'http' + i) for i in n]
converting dataframe into a list,df.values.T.tolist()
sort pandas dataframe by date,df.sort_values(by='Date')
get a list of keys of dictionary `things` sorted by the value of nested dictionary key 'weight',"sorted(list(things.keys()), key=lambda x: things[x]['weight'], reverse=True)"
how to count values in a certain range in a numpy array?,((25 < a) & (a < 100)).sum()
insert item into case-insensitive sorted list in python,"['a', 'A', 'b', 'B', 'c', 'C', 'd', 'D', 'e', 'E']"
pandas: union duplicate strings,"df.groupby(['ID', 'url'])['active_seconds'].cumsum()"
round number `x` to nearest integer,int(round(x))
"how to get value on a certain index, in a python list?","dictionary = dict(zip(List[0::2], List[1::2]))"
fastest way to sort each row in a pandas dataframe,"df.sort(axis=1, ascending=False)"
split pandas dataframe column based on number of digits,df.value.astype(str).apply(list).apply(pd.Series).astype(int)
how to get pandas.read_csv() to infer datetime and timedelta types from csv file columns?,df['timedelta'] = pd.to_timedelta(df['timedelta'])
how to convert nested list of lists into a list of tuples in python 3.3?,"list(map(tuple, [['tom', 'cat'], ['jerry', 'mouse'], ['spark', 'dog']]))"
python: convert a list of python dictionaries to an array of json objects,json.dumps([dict(mpn=pn) for pn in lst])
"add array of shape `(6, 9, 20)` to array `[1, 2, 3, 4, 5, 6, 7, 8, 9]`","np.zeros((6, 9, 20)) + np.array([1, 2, 3, 4, 5, 6, 7, 8, 9]).reshape((1, 9, 1))"
remove one column for a numpy array,"b = a[:, :-1, :]"
removing key values pairs from a list of dictionaries,"[{k: v for k, v in d.items() if k != 'mykey1'} for d in mylist]"
filling array with zeros in numpy,"np.zeros((4, 3, 2))"
pandas - data frame - reshaping values in data frame,"df.set_index(['row_id', 'Game_ID']).unstack(level=0).sortlevel(level=1, axis=1)"
sort numpy matrix row values in ascending order,"numpy.sort(arr, axis=0)"
pythonic way to access the shifted version of numpy array?,"np.roll(a, 1)"
list of objects to json with python,"json_string = json.dumps(list_name, default=obj_dict)"
python pandas : how to skip columns when reading a file?,"a = pd.read_table('file', header=None, sep=' ', usecols=list(range(8)))"
convert a string `s` containing hex bytes to a hex string,s.decode('hex')
python creating a dictionary of lists,"dict((i, list(range(int(i), int(i) + 2))) for i in ['1', '2'])"
sort a list by multiple attributes?,"s = sorted(s, key=lambda x: (x[1], x[2]))"
add a tuple to a specific cell of a pandas dataframe,tempDF['newTuple'] = 's'
python csv: remove quotes from value,"csv.reader(upload_file, delimiter=',', quotechar='""')"
how to remove square bracket from pandas dataframe,df['value'] = df['value'].str.strip('[]')
how to check if all elements of a list matches a condition?,any(item[2] == 0 for item in items)
can i get json to load into an ordereddict in python?,"data = json.load(open('config.json'), object_pairs_hook=OrderedDict)"
remove duplicated items from list of lists `testdata`,"list(map(list, set(map(lambda i: tuple(i), testdata))))"
create a permutation with same autocorrelation,"np.corrcoef(x[0:len(x) - 1], x[1:])[0][1]"
"adding a 1-d array `[1, 2, 3, 4, 5, 6, 7, 8, 9]` to a 3-d array `np.zeros((6, 9, 20))`","np.zeros((6, 9, 20)) + np.array([1, 2, 3, 4, 5, 6, 7, 8, 9])[(None), :, (None)]"
how to extract the n-th elements from a list of tuples in python?,[x[1] for x in elements]
pandas: transforming the dataframegroupby object to desired format,df = df.reset_index()
create list of single item repeated n times in python,"[['x'], ['x'], ['x'], ['x']]"
simple way to append a pandas series `a` and `b` with same index,"pd.concat([a, b], ignore_index=True)"
check if string contains a certain amount of words of another string,x = [x for x in b.split() if x in a.split()]
appending column totals to a pandas dataframe,df['Total'] = df.sum(axis=1)
python3: conditional extraction of keys from a dictionary with comprehension,"[key for key, val in list(dct.items()) if val == True]"
python3: conditional extraction of keys from a dictionary with comprehension,"[key for key, val in list(dct.items()) if val]"
update all values associated with key `i` to string 'updated' if value `j` is not equal to 'none' in dictionary `d`,"{i: 'updated' for i, j in list(d.items()) if j != 'None'}"
create multiple columns in pandas dataframe from one function,"df[['IV', 'Vega']] = df.apply(newtonRap, axis=1)"
apply itertools.product to elements of a list of lists `arrays`,list(itertools.product(*arrays))
convert dataframe `df` to integer-type sparse object,df.to_sparse(0)
is it possible to have multiple statements in a python lambda expression?,"(lambda x, f: list(y[1] for y in f(x)))(lst, lambda x: (sorted(y) for y in x))"
keep only date part when using pandas.to_datetime,df['just_date'] = df['dates'].dt.date
numpy element-wise multiplication of an array and a vector,"np.allclose(a, b)"
get count of values in numpy array `a` that are between values `25` and `100`,((25 < a) & (a < 100)).sum()
how to remove leading and trailing spaces from strings in a python list,row = [x.strip() for x in row]
reordering list of dicts arbitrarily in python,"ordered = sorted(lst, key=lambda d: [2, 3, 1, 4].index(int(d['id'])))"
inserting a string into a list without getting split into characters,"list.insert(0, 'foo')"
changing the values of the diagonal of a matrix in numpy,A.ravel()[A.shape[1] * i:A.shape[1] * (i + A.shape[1]):A.shape[1] + 1]
how to check if all values in the columns of a numpy matrix are the same?,"np.all(a == a[(0), :], axis=0)"
get data of dataframe `df` where the sum of column 'x' grouped by column 'user' is equal to 0,df.loc[df.groupby('User')['X'].transform(sum) == 0]
get total number of values in a nested dictionary `food_colors`,sum(len(x) for x in list(food_colors.values()))
how do you extract a column from a multi-dimensional array?,"[1, 2, 3]"
"in numpy, what is the fastest way to multiply the second dimension of a 3 dimensional array by a 1 dimensional array?","A * B[:, (np.newaxis)]"
how to check if all values in the columns of a numpy matrix are the same?,"np.equal.reduce([False, 0, 1])"
pandas dataframe with 2-rows header and export to csv,"df.to_csv('test.csv', mode='a', index=False, header=False)"
"how to store data frame using pandas, python",df.to_pickle(file_name)
sum of all values in a python dict `d`,sum(d.values())
python: split numpy array based on values in the array,"np.diff(arr[:, (1)])"
python: sorting a dictionary of lists,"[y[1] for y in sorted([(myDict[x][2], x) for x in list(myDict.keys())])]"
how to convert numpy.recarray to numpy.array?,"a.astype([('x', '<f8'), ('y', '<f8'), ('z', '<f8')]).view('<f8')"
how to create a dictionary with certain specific behaviour of values,"{'A': 4, 'B': 1, 'C': 1}"
how to modify the elements in a list within list,"L = [[1, 2, 3], [4, 5, 6], [3, 4, 6]]"
get a dataframe `df2` that contains all the columns of dataframe `df` that do not end in `prefix`,"df2 = df.ix[:, (~df.columns.str.endswith('prefix'))]"
how to achieve two separate list of lists from a single list of lists of tuple with list comprehension?,"[[y for x, y in sublist] for sublist in l]"
extract item from list of dictionaries,[d for d in a if d['name'] == 'pluto']
mapping over values in a python dictionary,"my_dictionary = dict(map(lambda k_v: (k_v[0], f(k_v[1])), iter(my_dictionary.items())))"
"throw an assertion error with message ""unexpected value of 'distance'!"", distance","raise AssertionError(""Unexpected value of 'distance'!"", distance)"
possible to generate data with while in list comprehension,print([i for i in range(5)])
group by multiple time units in pandas data frame,dfts = df.set_index('date_time')
get only first element in each of the innermost of the multidimensional list `listd`,[[[x[0]] for x in listD[i]] for i in range(len(listD))]
reverse key-value pairs in a dictionary `map`,"dict((v, k) for k, v in map.items())"
create a 2d array of `node` objects with dimensions `cols` columns and `rows` rows,nodes = [[Node() for j in range(cols)] for i in range(rows)]
read csv file 'myfile.csv' into array,"np.genfromtxt('myfile.csv', delimiter=',')"
reverse mapping of dictionary with python,"dict(map(lambda a: [a[1], a[0]], iter(d.items())))"
duplicating some rows and changing some values in pandas,"pd.concat([good, new], axis=0, ignore_index=True)"
bits list to integer in python,"int(''.join(str(i) for i in my_list), 2)"
how to extract the n-th elements from a list of tuples in python?,"map(itemgetter(1), elements)"
how can i draw half circle in opencv?,"cv2.imwrite('half_circle_no_round.jpg', image)"
filter dict to contain only certain keys?,"foodict = {k: v for k, v in list(mydict.items()) if k.startswith('foo')}"
delete every nth row or column in a matrix using python,"np.delete(a, list(range(0, a.shape[1], 8)), axis=1)"
get the indexes of the x and y axes in numpy array `np` where variable `a` is equal to variable `value`,"i, j = np.where(a == value)"
convert a hex string `x` to string,"y = str(int(x, 16))"
how to convert a list into a pandas dataframe,df[col] = df[col].apply(lambda i: ''.join(i))
gradient calculation with python,np.cos(-1.5)
how to replace all non-numeric entries with nan in a pandas dataframe?,df[df.applymap(isnumber)]
convert dataframe column type from string to datetime,df['col'] = pd.to_datetime(df['col'])
get norm of numpy sparse matrix rows,"n = np.sqrt(np.einsum('ij,ij->i', a, a))"
missing data in pandas.crosstab,"pd.crosstab(a, [b, c], rownames=['a'], colnames=['b', 'c'], dropna=False)"
rename `last` row index label in dataframe `df` to `a`,df = df.rename(index={last: 'a'})
create a list where each element is a dictionary with keys 'key1' and 'key2' and values corresponding to each value in the lists referenced by keys 'key1' and 'key2' in dictionary `d`,"[{'key1': a, 'key2': b} for a, b in zip(d['key1'], d['key2'])]"
python pandas: drop a df column if condition,"dummy_df.loc[:, (~(dummy_df == '0%').all())]"
how do i extract all the values of a specific key from a list of dictionaries?,results = [item['value'] for item in test_data]
sum a list of numbers in python,sum(i for i in a)
"find all the rows in dataframe 'df2' that are also present in dataframe 'df1', for the columns 'a', 'b', 'c' and 'd'.","pd.merge(df1, df2, on=['A', 'B', 'C', 'D'], how='inner')"
sorting while preserving order in python,"sorted(enumerate(a), key=lambda x: x[1])"
"run the code contained in string ""print('hello')""","eval(""print('Hello')"")"
how do i return a json array with bottle?,"{'data': [{'id': 1, 'name': 'Test Item 1'}, {'id': 2, 'name': 'Test Item 2'}]}"
bool value of a list in python,return len(my_list)
sort dates in python array,"sorted(timestamps, key=lambda d: map(int, d.split('-')))"
remove empty string from list,mylist = [i for i in mylist if i != '']
efficient loop over numpy array,"np.nonzero(np.any(a, axis=0))[0]"
sum the products of each two elements at the same index of list `a` and list `b`,"list(x * y for x, y in list(zip(a, b)))"
delete items from list of list: pythonic way,my_list = [[x for x in sublist if x not in to_del] for sublist in my_list]
reading in integer from stdin in python,n = int(input())
convert a pandas dataframe to a dictionary,"{'p': [1, 3, 2], 'q': [4, 3, 2], 'r': [4, 0, 9]}"
how to rearrange pandas column sequence?,cols = list(df.columns.values)
calcuate mean for selected rows for selected columns in pandas data frame,"df[['a', 'b', 'd']].iloc[[0, 1, 3]].mean(axis=0)"
sorting list by an attribute that can be none,my_list.sort(key=nonesorter)
python sum the values of lists of list,result = [sum(b) for b in a]
function changes list values and not variable values in python,return [(x + 1) for x in y]
most efficient way to implement numpy.in1d for muliple arrays,"[np.nonzero(np.in1d(x, c))[0] for x in [a, b, d, c]]"
filtering elements from list of lists in python?,"[(x, y, z) for x, y, z in a if (x + y) ** z > 30]"
getting unique values from lists(containing tags) in dataframe row,df.genres.apply(pd.Series).stack().drop_duplicates().tolist()
python filter/remove urls from a list,list2 = [line for line in file if 'CONTENT_ITEM_ID' in line]
select multiple columns in pandas data frame with column index as sequential number,"df.iloc[:, (your_col_index)]"
multiple assigments with a comma in python,"a = b, c = 'AB'"
how do i divide the members of a list by the corresponding members of another list in python?,"[(c / t) for c, t in zip(conversions, trials)]"
clamping floating numbers in python?,"max(min(my_value, max_value), min_value)"
getting unique indices of minimum values in multiple lists,"[0, 3, 1, 2]"
normalize columns of pandas data frame,df = df / df.max().astype(np.float64)
python comprehension loop for dictionary,sum(item['one'] for item in list(tadas.values()))
how do i vectorize this loop in numpy?,"np.ma.array(np.tile(arr, 2).reshape(2, 3), mask=~cond).argmax(axis=1)"
gets the `n` th-to-last element in list `some_list`,some_list[(- n)]
"from list of integers, get number closest to a given value","min(myList, key=lambda x: abs(x - myNumber))"
how to set first column to a constant value of an empty np.zeros numpy matrix?,"myArray = np.zeros((6, 6))"
pandas: keeping only first row of data in each 60 second bin,df[df.time.diff().fillna(pd.Timedelta('60S')) >= pd.Timedelta('60S')]
split dictionary of lists into list of dictionaries,"[{'key1': a, 'key2': b} for a, b in zip(d['key1'], d['key2'])]"
get the size of list `s`,len(s)
"in python, find out number of differences between two ordered lists","sum(1 for i, j in zip(a, b) if i != j)"
"in python, is there a concise way to use a list comprehension with multiple iterators?","[(i, j) for i in range(10) for j in range(i)]"
"python, numpy; how to insert element at the start of an array","np.insert(my_array, 0, myvalue, axis=1)"
does python have a built in function for string natural sort?,"['elm0', 'elm1', 'Elm2', 'elm9', 'elm10', 'Elm11', 'Elm12', 'elm13']"
pandas dataframe with 2-rows header and export to csv,"df.to_csv(f, index=False, header=False)"
find all the lists from a lists of list 'items' if third element in all sub-lists is '0',[x for x in items if x[2] == 0]
how to subset a data frame using pandas based on a group criteria?,df.loc[df.groupby('User')['X'].transform(sum) == 0]
problems while trying to generate pandas dataframe columns from regulars expressions?,"print(pd.DataFrame(list(file_to_adverb_dict.items()), columns=['file_names', 'col1']))"
python: is there a library function for chunking an input stream?,"[data[i:i + n] for i in range(0, len(data), n)]"
how to properly split this list of strings?,"[['z', '+', '2', '-', '44'], ['4', '+', '55', '+((', 'z', '+', '88', '))']]"
python how to sort this list?,"sorted(lst, reverse=True)"
numpy - set values in structured array based on other values in structured array,"a = numpy.zeros((10, 10), dtype=[('x', int), ('y', 'a10')])"
pandas data frame indexing using loc,"pd.Series([pd.Timestamp('2014-01-02'), 'THU', 'THU'])"
multiply two pandas series with mismatched indices,s1.reset_index(drop=True) * s2.reset_index(drop=True)
sum elements of tuple `b` to their respective elements of each tuple in list `a`,"c = [[(i + j) for i, j in zip(e, b)] for e in a]"
merging data frame columns of strings into one single column in pandas,"df.apply(' '.join, axis=1)"
binarize the values in columns of list `order` in a pandas data frame,"pd.concat([df, pd.get_dummies(df, '', '').astype(int)], axis=1)[order]"
getting the opposite diagonal of a numpy array,np.diag(np.rot90(array))
appending data into an undeclared list,"l = [(x * x) for x in range(0, 10)]"
how to define two-dimensional array in python,matrix = [([0] * 5) for i in range(5)]
equivalent of j in numpy,1j * np.arange(5)
how to compute a new column based on the values of other columns in pandas - python,df['c'] = (df.a.str[-1] == df.b).astype(int)
replace values in an array,"np.place(a, np.isnan(a), 0)"
is there a fast way to generate a dict of the alphabet in python?,"d = dict.fromkeys(string.ascii_lowercase, 0)"
join last element in list,""""""" & """""".join(['_'.join(inp[i:j]) for i, j in zip([0, 2], [2, None])])"
how to use map to lowercase strings in a dictionary?,[{'content': x['content'].lower()} for x in messages]
select all rows whose values in a column `column_name` equals a scalar `some_value` in pandas data frame object `df`,df.loc[df['column_name'] == some_value]
convert radians 1 to degrees,math.cos(math.radians(1))
fastest way to remove first and last lines from a python string,s[s.find('\n') + 1:s.rfind('\n')]
what is the most pythonic way to test for match with first item of tuple in sequence of 2-tuples?,any(x[0] == 'a' for x in seq_of_tups)
finding and substituting a list of words in a file using regex in python,"a = ['cat', 'dog', 'mouse']"
how to create a list from another list using specific criteria in python?,print([i.split('/')[1] for i in input if '/' in i])
how to plot two columns of a pandas data frame using points?,"df.plot(x='col_name_1', y='col_name_2', style='o')"
understand lambda usage in given python code,lambda i: i[0]
get all the values in key `gold` summed from a list of dictionary `mylist`,sum(item['gold'] for item in myLIst)
trim characters ' \t\n\r' in `s`,s = s.strip(' \t\n\r')
average of tuples,sum(v[0] for v in list(d.values())) / float(len(d))
how do i delete a row in a numpy array which contains a zero?,"a[np.all(a != 0, axis=1)]"
is there a way to know if a list of elements is on a larger list without using 'in' keyword?,"zip(big_list[:], big_list[1:], big_list[2:])"
list minimum in python with none?,"min([x for x in [None, 1, 2] if x is not None])"
how to query multiindex index columns values in pandas,"x.loc[(x.B >= 111.0) & (x.B <= 500.0)].set_index(['A', 'B']).index"
python getting a string (key + value) from python dictionary,""""""", """""".join(['{}_{}'.format(k, v) for k, v in d.items()])"
float64 with pandas to_csv,"df.to_csv('pandasfile.csv', float_format='%.3f')"
return list of items in list greater than some value,[x for x in j if x >= 5]
sort a dictionary `d` by key,"OrderedDict(sorted(list(d.items()), key=(lambda t: t[0])))"
how do i combine two columns within a dataframe in pandas?,df['c'] = df['b'].combine_first(df['a'])
how to select rows start with some str in pandas?,"df[~df.col.str.startswith(('t', 'c'))]"
creating a list from a scipy matrix,"x = scipy.matrix([1, 2, 3]).transpose()"
how do i find the duration of an event for a pandas time series,aapl.groupby((aapl.sign.diff() != 0).cumsum()).size()
pandas read csv with extra commas in column,"df = pd.read_csv('comma.csv', quotechar=""'"")"
how can i filter a pandas groupby object and obtain a groupby object back?,grouped.apply(lambda x: x.sum() if len(x) > 2 else None).dropna()
how to extract from a list of objects a list of specific attribute?,[o.my_attr for o in my_list]
pandas fillna() based on specific column attribute,df.loc[(df['Type'] == 'Dog') & df['Killed']]
how to subtract values from dictionaries,"d3 = {key: (d1[key] - d2.get(key, 0)) for key in list(d1.keys())}"
how to sort a pandas dataframe according to multiple criteria?,"df.sort(['Peak', 'Weeks'], ascending=[True, False], inplace=True)"
how to pythonically yield all values from a list?,(x for x in List)
create pandas dataframe from txt file with specific pattern,"df = pd.read_csv('filename.txt', sep=';', names=['Region Name'])"
best way to split a dataframe given an edge,df.groupby((df.a == 'B').shift(1).fillna(0).cumsum())
finding the index of an item given a list containing it in python,"[i for i, j in enumerate(['foo', 'bar', 'baz']) if j == 'foo']"
lowercase a python dataframe string in column 'x' if it has missing values in dataframe `df`,df['x'].str.lower()
select all rows from pandas dataframe 'df' where the value in column 'a' is greater than 1 or less than -1 in column 'b'.,df[(df['A'] > 1) | (df['B'] < -1)]
delete an item `thing` in a list `some_list` if it exists,cleaned_list = [x for x in some_list if x is not thing]
how do i insert a column at a specific column index in pandas?,df.reindex(columns=['n'] + df.columns[:-1].tolist())
elegant way to transform a list of dict into a dict of dicts,"dict((d['name'], d) for d in listofdict)"
get an item from a list of dictionary `lst` which has maximum value in the key `score` using lambda function,"max(lst, key=lambda x: x['score'])"
finding the derivative of a polynomial,"deriv_poly = [(poly[i] * i) for i in range(1, len(poly))]"
how to slice a list of strings with space delimiter?,new_list = [x.split()[-1] for x in Original_List]
output first 100 characters in a string `my_string`,print(my_string[0:100])
python: sort a list of lists by an item in the sublist,"sorted(a, key=lambda x: x[1], reverse=True)"
"create a dictionary `{'spam': 5, 'ham': 6}` into another dictionary `d` field 'dict3'","d['dict3'] = {'spam': 5, 'ham': 6}"
printing a list using python,"print('[', ', '.join(repr(i) for i in list), ']')"
convert decimal integer 8 to a list of its binary values as elements,[int(x) for x in list('{0:0b}'.format(8))]
sort a list `unsorted_list` based on another sorted list `presorted_list`,"sorted(unsorted_list, key=presorted_list.index)"
convert pandas group by object to multi-indexed dataframe with indices 'name' and 'destination',"df.set_index(['Name', 'Destination'])"
convert generator object to a dictionary,"dict((i, i * 2) for i in range(10))"
numpy list comprehension syntax,"[[X[i, j] for j in range(X.shape[1])] for i in range(x.shape[0])]"
sorting dictionary keys based on their values,"[k for k, v in sorted(list(mydict.items()), key=lambda k_v: k_v[1][1])]"
"combine two lists `[1, 2, 3, 4]` and `['a', 'b', 'c', 'd']` into a dictionary","dict(zip([1, 2, 3, 4], ['a', 'b', 'c', 'd']))"
order a list by all item's digits in python,"sorted(myList, key=dist)"
reset the indexes of a pandas data frame,df2 = df.reset_index()
summing across rows of pandas dataframe,"df.groupby(['stock', 'same1', 'same2'])['positions'].sum().reset_index()"
reading a file in python,"reader = csv.reader(open('filename'), delimiter='\t')"
sort list of lists `l` by the second item in each list,L.sort(key=operator.itemgetter(1))
numpy list comprehension syntax,"[[X[i, j] for i in range(X.shape[0])] for j in range(x.shape[1])]"
how to select increasing elements of a list of tuples?,"a = [a[i] for i in range(1, len(a)) if a[i][1] > a[i - 1][1]]"
how to add multiple values to a dictionary key in python?,a[key].append(1)
pandas convert 'na' to nan,pd.read_csv('test')
get the indices of tuples in list of tuples `l` where the first value is 53,"[i for i, v in enumerate(L) if v[0] == 53]"
count rows that match string and numeric with pandas,df.MUT.str.extract('A:(T)|A:(G)|A:(C)|A:(-)')
"numpy, how to get a sub matrix with boolean slicing","np.array(m2)[:, (1)] > 10"
keeping nans with pandas dataframe inequalities,df.isnull()
split three-digit integer to three-item list of each digit in python,[int(char) for char in str(634)]
slice assignment with a string in a list,my_list[0] = 'cake'
numpy indexerror: too many indices for array when indexing matrix with another,"matrix([[1, 2, 3], [7, 8, 9], [10, 11, 12]])"
python sum of ascii values of all characters in a string,"sum(map(ord, string))"
find maximum value of a column and return the corresponding row values using pandas,df = df.reset_index()
what is the most pythonic way to avoid specifying the same value in a string,"""""""hello {name}, how are you {name}, welcome {name}"""""".format(name='john')"
max in a list with two conditions,"max((t for t in yourlist if t[2] >= 100), key=itemgetter(1))"
drop the rows in pandas timeseries `df` from the row containing index `start_remove` to the row containing index `end_remove`,df.loc[(df.index < start_remove) | (df.index > end_remove)]
extract lists within lists containing a string in python,[l for l in paragraph3]
how to convert numpy datetime64 into datetime,"np.array([[x, x], [x, x]], dtype='M8[ms]').astype('O')[0, 1]"
creating a 2d matrix in python,x = [[None for _ in range(5)] for _ in range(6)]
multiply high order matrices with numpy,"np.einsum('ijk,ij->ik', ind, dist)"
how to remove duplicates in a nested list of objects in python,"sorted(item, key=lambda x: x.id)"
get a dictionary in list `dicts` which key 'ratio' is closer to a global value 1.77672955975,"min(dicts, key=lambda x: (abs(1.77672955975 - x['ratio']), -x['pixels']))"
numpy elementwise product of 3d array,"np.einsum('ijk,ikl->ijl', A, B)"
get all the values in column `b` from pandas data frame `df`,df['b']
find cells in dataframe where value is between x and y,"df.stack().between(2, 10, inclusive=False).unstack()"
python list of tuples to list of int,y = [j for i in x for j in i]
how to print more than one value in a list comprehension?,"[[word, len(word), word.upper()] for word in sent]"
sorting a list of dictionary `a` by values in descending order,"sorted(a, key=dict.values, reverse=True)"
how to make a pandas crosstab with percentages?,"pd.crosstab(df.A, df.B).apply(lambda r: r / len(df), axis=1)"
how can i retrieve the current seed of numpy's random number generator?,"print(np.random.randint(0, 100, 10))"
check if string `my_string` is empty,"if (not my_string):
    pass"
can python test the membership of multiple values in a list?,"set(['a', 'b']).issubset(['b', 'a', 'foo', 'bar'])"
pls-da algorithm in python,"dummy = np.array([[1, 1, 0, 0], [0, 0, 1, 1]]).T"
deleting mulitple columns in pandas,"df.drop(df.ix[:, 'Unnamed: 24':'Unnamed: 60'].head(0).columns, axis=1)"
best / most pythonic way to get an ordered list of unique items,sorted(set(itertools.chain.from_iterable(sequences)))
what is the most pythonic way to avoid specifying the same value in a string,"""""""hello {0}, how are you {0}, welcome {0}"""""".format('john')"
element-wise minimum of multiple vectors in numpy,"np.minimum.accumulate([np.arange(3), np.arange(2, -1, -1), np.ones((3,))])"
convert the dataframe column 'col' from string types to datetime types,df['col'] = pd.to_datetime(df['col'])
"list of tuples (string, float)with nan how to get the min value?","min(list, key=lambda x: float('inf') if math.isnan(x[1]) else x[1])"
how to split 1d array into 2d array in numpy by splitting the array at the last element?,"np.split(a, [-1])"
numpy mean with comparison operator in the parameter,"array([True, True, True, False, False, False, False], dtype=bool)"
sum parts of numpy.array,"a[:, ::2] + a[:, 1::2]"
how can i get the index value of a list comprehension?,"{(p.id, ind): {'id': p.id, 'position': ind} for ind, p in enumerate(p_list)}"
pandas groupby: count the number of occurences within a time range for each group,df['WIN1'] = df['WIN'].map(lambda x: 1 if x == 'Yes' else 0)
flipping bits in python,n ^= (1 << upper) - 1 & ~((1 << lower) - 1)
python: sorting dictionary of dictionaries,"sorted(list(dic.items()), key=lambda x: x[1]['Fisher'], reverse=True)"
is there a way to subclass a generator in python 3?,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
empty a list `lst`,del lst[:]
"subset numpy array `a` by column and row, returning the values from the first row, first column and the second row, second column and the third row, first column.","a[np.arange(3), (0, 1, 0)]"
how do i create a python set with only one element?,mySet = set([myString])
get the maximum 2 values per row in array `a`,"A[:, -2:]"
python image library: how to combine 4 images into a 2 x 2 grid?,image64 = Image.open(fluid64 + '%02d.jpg' % pic)
how to use re match objects in a list comprehension,[m.group(1) for l in lines for m in [regex.search(l)] if m]
convert a list of characters into a string,"['a', 'b', 'c'].join('')"
create a list of integers with duplicate values in python,[(i // 2) for i in range(10)]
apply function `log2` to the grouped values by 'type' in dataframe `df`,df.groupby('type').apply(lambda x: np.mean(np.log2(x['v'])))
sort 2d array `matrix` by row with index 1,"sorted(matrix, key=itemgetter(1))"
filtering a list of strings based on contents,[x for x in L if 'ab' in x]
ordering a list of dictionaries in python,"mylist.sort(key=operator.itemgetter('weight', 'factor'))"
sorting list by an attribute that can be none,mylist.sort(key=lambda x: Min if x is None else x)
how to access pandas groupby dataframe by key,"df.loc[gb.groups['foo'], ('A', 'B')]"
appending the same string to a list of strings in python,"['foobar', 'fobbar', 'fazbar', 'funkbar']"
delete column from pandas dataframe,"df = df.drop('column_name', 1)"
how to normalize by another row in a pandas dataframe?,"df.loc[:, (cols)] / df.loc[ii, cols].values"
finding nth item of unsorted list without sorting the list,list(sorted(iter))[-10]
changing the values of the diagonal of a matrix in numpy,A.ravel()[:A.shape[1] ** 2:A.shape[1] + 1]
gradientboostingclassifier with a baseestimator in scikit-learn?,"self.est.fit(X, y)"
finding tuple in the list of tuples (sorting by multiple keys),"x1 = sorted(x, key=lambda t: t[2], reverse=True)"
2d array of lists in python,"matrix = [[['s1', 's2'], ['s3']], [['s4'], ['s5']]]"
sort list `results` by keys value 'year',"sorted(results, key=itemgetter('year'))"
calculate within categories: equivalent of r's ddply in python?,df.groupby('d').apply(f)
detect text area in an image using python and opencv,"return cv2.findContours(img, cv2.RETR_EXTERNAL, cv2.CHAIN_APPROX_SIMPLE)"
split dictionary of lists into list of dictionaries,"map(dict, zip(*[[(k, v) for v in value] for k, value in list(d.items())]))"
get a sub-set of a python dictionary,dict([i for i in iter(d.items()) if i[0] in validkeys])
"how do i sort a list with ""nones last""","groups = sorted(groups, key=lambda a: (a['name'] is None, a['name']))"
aligning individual columns in pandas to_latex,"print(df.to_latex(index=None).replace('lll', 'rrr'))"
how to create list of 3 or 4 columns of dataframe in pandas when we have 20 to 50 colums?,df[df.columns[2:5]]
replace a string in list of lists,"example = [x.replace('\r\n', '') for x in example]"
how to get first element in a list of tuples?,new_list = [seq[0] for seq in yourlist]
how convert a jpeg image into json file in google machine learning,{'instances': [{'image_bytes': {'b64': 'dGVzdAo='}}]}
sort list `l` by index 2 of the item,"sorted(l, key=(lambda x: x[2]))"
how to convert a pandas dataframe into a timeseries?,df.unstack()
pairwise traversal of a list or tuple,"[(x - y) for x, y in zip(a[1:], a)]"
creating a pandas dataframe from columns of other dataframes with similar indexes,"pd.concat([df1['c'], df2['c']], axis=1, keys=['df1', 'df2'])"
creating new binary columns from single string column in pandas,pd.get_dummies(df['Speed'])
sort column `m` in panda dataframe `df`,df.sort('m')
remove one column for a numpy array,"b = np.delete(a, -1, 1)"
remove specific elements in a numpy array `a`,"numpy.delete(a, index)"
